날짜,종가,오픈,고가,저가,거래량,변동 %
2022- 06- 23,60700.0,64000.0,65700.0,60700.0,648220.0,-5.89
2022- 06- 22,64500.0,69800.0,70000.0,64500.0,553360.0,-7.06
2022- 06- 21,69400.0,69200.0,70800.0,68300.0,306710.0,0.29
2022- 06- 20,69200.0,69600.0,70500.0,67500.0,328440.0,0.0
2022- 06- 17,69200.0,68200.0,69600.0,67800.0,341980.0,-0.86
2022- 06- 16,69800.0,68100.0,71400.0,66600.0,730340.0,4.02
2022- 06- 15,67100.0,67100.0,68200.0,64300.0,648310.0,-0.45
2022- 06- 14,67400.0,67000.0,68200.0,65400.0,569690.0,-1.61
2022- 06- 13,68500.0,69800.0,70400.0,68000.0,484370.0,-3.39
2022- 06- 12,70900.0,70900.0,70900.0,70900.0,0.0,0.0
2022- 06- 10,70900.0,69700.0,71500.0,69300.0,457860.0,0.85
2022- 06- 09,70300.0,67700.0,71400.0,67200.0,739150.0,3.53
2022- 06- 08,67900.0,66000.0,68500.0,65100.0,397550.0,3.66
2022- 06- 07,65500.0,66800.0,68100.0,64300.0,400140.0,-2.09
2022- 06- 06,66900.0,66900.0,66900.0,66900.0,0.0,0.0
2022- 06- 03,66900.0,67700.0,68200.0,66500.0,202150.0,-0.15
2022- 06- 02,67000.0,69500.0,69500.0,66500.0,336680.0,-3.6
2022- 06- 01,69500.0,69500.0,69500.0,69500.0,0.0,0.0
2022- 05- 31,69500.0,70500.0,70600.0,68900.0,210650.0,-1.14
2022- 05- 30,70300.0,70000.0,71900.0,69600.0,320930.0,2.18
2022- 05- 27,68800.0,68300.0,70700.0,68000.0,324430.0,1.78
2022- 05- 26,67600.0,68400.0,70000.0,67200.0,299100.0,-0.59
2022- 05- 25,68000.0,67800.0,68700.0,66200.0,391180.0,0.0
2022- 05- 24,68000.0,68700.0,70300.0,67800.0,347840.0,-1.02
2022- 05- 23,68700.0,71600.0,71700.0,67600.0,628290.0,-4.32
2022- 05- 22,71800.0,71800.0,71800.0,71800.0,0.0,0.0
2022- 05- 20,71800.0,70200.0,72800.0,69700.0,478020.0,2.28
2022- 05- 19,70200.0,70000.0,71400.0,69400.0,531730.0,-1.68
2022- 05- 18,71400.0,68800.0,72600.0,68600.0,770630.0,3.93
2022- 05- 17,68700.0,64900.0,69900.0,64400.0,1710000.0,12.07
