"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021- 05- 17","248,500","242,500","248,500","242,500","142.58K","2.47%"
"2021- 05- 16","242,500","242,500","242,500","242,500","","0.00%"
"2021- 05- 14","242,500","245,000","245,000","241,000","148.86K","0.83%"
"2021- 05- 13","240,500","242,000","246,000","238,000","247.08K","-2.24%"
"2021- 05- 12","246,000","259,000","264,000","244,500","379.83K","-5.02%"
"2021- 05- 11","259,000","258,000","261,000","253,500","193.29K","0.19%"
"2021- 05- 10","258,500","255,500","262,000","253,500","255.66K","2.38%"
"2021- 05- 09","252,500","252,500","252,500","252,500","","0.00%"
"2021- 05- 07","252,500","253,500","256,000","249,000","193.28K","0.60%"
"2021- 05- 06","251,000","240,000","251,000","237,000","263.00K","4.80%"
"2021- 05- 05","239,500","239,500","239,500","239,500","","0.00%"
"2021- 05- 04","239,500","237,000","240,500","234,000","194.27K","1.27%"
"2021- 05- 03","236,500","243,000","245,000","234,000","194.06K","-2.67%"
"2021- 05- 02","243,000","243,000","243,000","243,000","","0.00%"
"2021- 04- 30","243,000","244,500","249,000","240,000","182.37K","-0.21%"
"2021- 04- 29","243,500","247,000","247,500","242,000","174.99K","-0.20%"
"2021- 04- 28","244,000","257,000","258,500","242,000","409.36K","-4.69%"
"2021- 04- 27","256,000","260,000","264,500","255,000","233.38K","-1.16%"
"2021- 04- 26","259,000","260,000","262,500","255,500","215.60K","0.19%"
"2021- 04- 23","258,500","256,000","261,500","251,500","283.51K","1.37%"
"2021- 04- 22","255,000","246,000","256,000","245,500","444.60K","5.37%"
"2021- 04- 21","242,000","242,000","246,500","241,000","229.61K","0.00%"
"2021- 04- 20","242,000","241,000","247,500","239,500","214.42K","0.21%"
"2021- 04- 19","241,500","250,000","254,000","240,500","345.79K","-3.01%"
"2021- 04- 18","249,000","249,000","249,000","249,000","","0.00%"
"2021- 04- 16","249,000","253,500","255,500","242,500","437.81K","0.61%"
"2021- 04- 15","247,500","225,225","252,450","225,225","1.26M","6.16%"
"2021- 04- 14","233,145","239,085","244,530","229,680","1.02M","-6.73%"
"2021- 04- 13","249,975","252,945","255,915","248,985","317.51K","0.00%"
"2021- 04- 12","249,975","253,440","259,875","247,500","458.94K","-3.11%"
"2021- 04- 11","258,000","258,000","258,000","258,000","","1.01%"
"2021- 04- 09","255,420","265,320","269,280","254,430","510.94K","-3.37%"
"2021- 04- 08","264,330","275,220","282,150","262,350","635.22K","-3.26%"
"2021- 04- 07","273,240","259,380","276,705","253,935","1.04M","6.56%"
"2021- 04- 06","256,410","250,470","261,855","248,985","926.55K","4.44%"
"2021- 04- 05","245,520","252,450","262,350","241,065","1.67M","1.04%"
"2021- 04- 04","243,000","243,000","243,000","243,000","","1.01%"
"2021- 04- 02","240,570","237,600","241,065","231,660","452.20K","1.67%"
"2021- 04- 01","236,610","243,540","244,530","231,660","280.43K","-1.65%"
"2021- 03- 31","240,570","242,550","248,490","238,590","275.33K","0.21%"
"2021- 03- 30","240,075","235,620","246,015","234,630","360.50K","2.54%"
"2021- 03- 29","234,135","241,065","241,065","231,660","226.34K","-3.25%"
"2021- 03- 28","242,000","242,000","242,000","242,000","","1.01%"
"2021- 03- 26","239,580","234,630","240,570","226,710","398.24K","2.76%"
"2021- 03- 25","233,145","216,810","233,145","216,315","304.56K","7.53%"
"2021- 03- 24","216,810","218,790","223,245","213,840","144.17K","-1.35%"
"2021- 03- 23","219,780","229,680","232,155","217,800","183.12K","-3.48%"
"2021- 03- 22","227,700","225,225","232,155","224,235","203.62K","0.75%"
"2021- 03- 21","226,000","226,000","226,000","226,000","","1.01%"
"2021- 03- 19","223,740","226,215","229,185","220,770","211.96K","-3.42%"
"2021- 03- 18","231,660","229,680","233,145","227,700","253.23K","1.30%"
"2021- 03- 17","228,690","217,800","231,660","217,800","389.09K","5.48%"
"2021- 03- 16","216,810","218,790","220,770","213,840","181.56K","0.46%"
"2021- 03- 15","215,820","217,800","224,235","211,860","357.69K","-5.34%"
"2021- 03- 14","228,000","228,000","228,000","228,000","","1.01%"
"2021- 03- 12","225,720","212,850","226,215","212,355","462.28K","7.80%"
"2021- 03- 11","209,385","192,555","211,365","191,070","449.30K","9.59%"
"2021- 03- 10","191,070","201,465","201,960","190,575","215.30K","-3.50%"
"2021- 03- 09","198,000","207,405","208,890","195,030","303.86K","-3.85%"
"2021- 03- 08","205,920","207,405","213,345","203,940","282.70K","0.24%"
"2021- 03- 05","205,425","207,405","207,900","202,455","167.07K","-2.58%"
"2021- 03- 04","210,870","207,405","214,830","206,910","235.17K","0.24%"
"2021- 03- 03","210,375","207,900","212,355","205,920","227.57K","2.66%"
"2021- 03- 02","204,930","210,870","214,335","203,940","174.90K","0.24%"
"2021- 02- 26","204,435","200,475","206,910","198,495","272.57K","-2.59%"
"2021- 02- 25","209,880","212,850","214,335","202,950","386.93K","0.47%"
"2021- 02- 24","208,890","232,155","237,105","207,900","573.56K","-7.66%"
"2021- 02- 23","226,215","225,225","232,155","218,790","207.90K","0.66%"
"2021- 02- 22","224,730","233,640","234,135","224,235","225.00K","-4.17%"
"2021- 02- 21","234,500","234,500","234,500","234,500","","1.01%"
"2021- 02- 19","232,155","240,075","243,540","226,710","342.94K","-2.90%"
"2021- 02- 18","239,085","252,450","256,410","237,105","438.17K","-3.01%"
"2021- 02- 17","246,510","245,025","252,450","239,580","395.39K","0.40%"
"2021- 02- 16","245,520","225,720","253,935","225,225","939.11K","9.49%"
"2021- 02- 15","224,235","230,670","234,630","223,740","307.46K","-3.14%"
"2021- 02- 14","231,500","231,500","231,500","231,500","","1.01%"
"2021- 02- 10","229,185","229,680","238,590","228,195","389.99K","0.22%"
"2021- 02- 09","228,690","239,580","240,075","227,700","586.94K","-5.91%"
"2021- 02- 08","243,045","244,530","248,985","240,570","327.73K","1.03%"
"2021- 02- 05","240,570","241,065","247,005","235,125","400.48K","0.62%"
"2021- 02- 04","239,085","231,660","244,530","226,215","865.58K","3.87%"
"2021- 02- 03","230,175","229,185","238,590","223,245","547.72K","0.00%"
"2021- 02- 02","230,175","216,810","240,075","211,365","1.37M","6.90%"
"2021- 02- 01","215,325","202,455","215,325","197,010","609.36K","5.29%"
"2021- 01- 31","204,500","204,500","204,500","204,500","","1.01%"
"2021- 01- 29","202,455","219,780","219,780","198,495","772.94K","-7.05%"
"2021- 01- 28","217,800","210,870","222,750","206,415","1.66M","6.02%"
"2021- 01- 27","205,425","205,920","219,285","204,435","943.17K","-1.43%"
"2021- 01- 26","208,395","201,465","216,810","192,555","902.90K","3.44%"
"2021- 01- 25","201,465","199,980","214,830","195,525","1.90M","4.66%"
"2021- 01- 24","192,500","192,500","192,500","192,500","","1.01%"
"2021- 01- 22","190,575","171,270","196,020","169,785","2.22M","11.27%"
"2021- 01- 21","171,270","176,220","176,220","171,270","242.62K","-1.70%"
"2021- 01- 20","174,240","172,260","175,230","167,310","426.38K","1.44%"
"2021- 01- 19","171,765","166,320","172,755","165,330","462.15K","4.83%"
"2021- 01- 18","163,845","154,440","166,815","152,955","634.30K","4.36%"
"2021- 01- 17","157,000","157,000","157,000","157,000","","1.01%"
"2021- 01- 15","155,430","159,390","160,875","155,430","693.69K","-5.42%"
"2021- 01- 14","164,340","164,835","168,795","161,865","342.72K","-1.48%"
"2021- 01- 13","166,815","151,965","178,200","151,470","2.09M","9.77%"
"2021- 01- 12","151,965","152,955","155,430","148,500","203.78K","-0.65%"
"2021- 01- 11","152,955","160,380","160,875","152,460","254.28K","-3.74%"
"2021- 01- 08","158,895","156,420","160,380","153,450","285.80K","2.23%"
"2021- 01- 07","155,430","156,915","157,905","155,430","139.96K","-0.95%"
"2021- 01- 06","156,915","158,400","159,390","155,925","148.73K","0.00%"
"2021- 01- 05","156,915","155,430","157,410","153,945","168.17K","0.32%"
"2021- 01- 04","156,420","158,400","158,895","154,440","153.37K","-1.25%"
"2020- 12- 30","158,400","156,915","159,390","155,925","118.08K","0.95%"
"2020- 12- 29","156,915","154,935","158,895","153,450","111.16K","1.28%"
"2020- 12- 28","154,935","156,915","157,410","153,450","115.32K","-0.95%"
"2020- 12- 24","156,420","151,470","156,915","149,985","133.08K","3.27%"
"2020- 12- 23","151,470","152,955","156,420","150,975","148.68K","-0.97%"
"2020- 12- 22","152,955","155,925","156,915","152,460","165.52K","-2.52%"
"2020- 12- 21","156,915","160,380","160,380","155,430","158.94K","-3.14%"
"2020- 12- 20","162,000","162,000","162,000","162,000","","1.01%"
"2020- 12- 18","160,380","160,875","162,360","158,895","161.25K","0.31%"
"2020- 12- 17","159,885","167,310","167,310","158,895","716.74K","-6.65%"
"2020- 12- 16","171,270","171,270","172,260","169,290","96.47K","0.58%"
"2020- 12- 15","170,280","173,745","173,745","168,795","151.46K","-1.99%"
"2020- 12- 14","173,745","177,705","177,705","173,250","198.33K","-2.77%"
"2020- 12- 11","178,695","180,180","180,180","177,210","143.68K","-0.55%"
"2020- 12- 10","179,685","177,210","179,685","175,230","388.96K","0.83%"
"2020- 12- 09","178,200","181,170","181,170","178,200","155.36K","-1.10%"
"2020- 12- 08","180,180","178,200","181,665","175,230","202.53K","0.83%"
"2020- 12- 07","178,695","186,615","186,615","178,200","253.64K","-3.73%"
"2020- 12- 04","185,625","187,110","187,605","183,150","258.52K","-1.06%"
"2020- 12- 03","187,605","181,665","188,595","180,180","671.19K","4.12%"
"2020- 12- 02","180,180","181,170","181,170","178,200","195.83K","0.55%"
