"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 04- 28","40,100","40,500","40,850","39,900","162.41K","-1.60%"
"2016- 04- 27","40,750","41,000","41,050","40,400","88.93K","-0.12%"
"2016- 04- 26","40,800","41,050","41,400","40,650","129.50K","-1.09%"
"2016- 04- 25","41,250","41,300","41,850","41,000","120.68K","-0.84%"
"2016- 04- 22","41,600","41,950","41,950","40,950","100.17K","0.00%"
"2016- 04- 21","41,600","42,150","42,350","41,400","136.07K","-1.89%"
"2016- 04- 20","42,400","42,600","42,850","42,250","101.89K","-0.70%"
"2016- 04- 19","42,700","42,150","42,950","41,850","167.42K","2.03%"
"2016- 04- 18","41,850","42,650","42,800","41,500","140.14K","-1.99%"
"2016- 04- 15","42,700","43,200","43,250","42,300","147.79K","-1.95%"
"2016- 04- 14","43,550","44,450","44,450","43,400","118.45K","-0.80%"
"2016- 04- 12","43,900","43,700","44,350","43,550","113.66K","0.69%"
"2016- 04- 11","43,600","44,100","44,350","43,400","133.94K","-1.02%"
"2016- 04- 08","44,050","45,350","45,700","43,750","286.44K","-1.89%"
"2016- 04- 07","44,900","43,850","45,000","43,350","374.45K","3.10%"
"2016- 04- 06","43,550","42,600","43,700","42,250","212.36K","2.11%"
"2016- 04- 05","42,650","43,100","43,100","42,500","100.69K","-0.70%"
"2016- 04- 04","42,950","42,900","43,150","42,150","144.54K","0.12%"
"2016- 04- 01","42,900","42,750","43,100","42,200","141.54K","0.23%"
"2016- 03- 31","42,800","42,650","43,400","42,500","208.42K","0.47%"
"2016- 03- 30","42,600","42,000","42,800","41,350","209.62K","1.91%"
"2016- 03- 29","41,800","41,200","42,300","41,100","314.91K","1.33%"
"2016- 03- 28","41,250","41,250","41,350","40,250","158.31K","0.61%"
"2016- 03- 25","41,000","40,250","41,500","40,200","238.07K","1.61%"
"2016- 03- 24","40,350","40,200","40,500","39,800","114.77K","0.37%"
"2016- 03- 23","40,200","40,800","41,000","40,000","158.35K","-0.74%"
"2016- 03- 22","40,500","39,600","40,550","39,200","170.85K","1.89%"
"2016- 03- 21","39,750","40,250","40,450","39,300","103.14K","-1.24%"
"2016- 03- 18","40,250","40,250","40,600","40,000","146.23K","0.37%"
"2016- 03- 17","40,100","39,300","40,400","39,150","183.79K","2.30%"
"2016- 03- 16","39,200","39,600","39,750","39,050","118.78K","-1.01%"
"2016- 03- 15","39,600","39,950","40,250","39,450","109.16K","-0.88%"
"2016- 03- 14","39,950","40,100","40,450","39,650","104.65K","-0.37%"
"2016- 03- 11","40,100","40,300","40,300","39,550","126.51K","-0.25%"
"2016- 03- 10","40,200","39,900","40,500","39,600","201.86K","0.75%"
"2016- 03- 09","39,900","38,900","40,050","38,700","214.33K","1.79%"
"2016- 03- 08","39,200","39,900","39,900","38,800","259.67K","-1.75%"
"2016- 03- 07","39,900","41,050","41,250","39,600","174.81K","-2.56%"
"2016- 03- 04","40,950","40,250","41,250","40,150","268.03K","1.24%"
"2016- 03- 03","40,450","40,250","40,600","39,700","187.49K","0.00%"
"2016- 03- 02","40,450","40,300","40,600","39,850","228.58K","0.62%"
"2016- 02- 29","40,200","39,800","40,400","39,700","155.81K","1.01%"
"2016- 02- 26","39,800","39,700","40,150","39,200","175.21K","0.51%"
"2016- 02- 25","39,600","38,600","39,700","38,500","311.84K","2.99%"
"2016- 02- 24","38,450","38,850","39,450","38,050","278.08K","-1.03%"
"2016- 02- 23","38,850","40,400","40,550","38,300","601.06K","-4.07%"
"2016- 02- 22","40,500","41,300","41,600","40,250","219.09K","-1.70%"
"2016- 02- 19","41,200","40,350","41,300","39,750","289.63K","2.49%"
"2016- 02- 18","40,200","38,700","40,700","37,450","717.31K","4.42%"
"2016- 02- 17","38,500","40,300","40,950","37,750","631.62K","-5.64%"
"2016- 02- 16","40,800","41,050","41,200","40,300","244.17K","0.37%"
"2016- 02- 15","40,650","40,550","41,450","40,100","287.85K","0.37%"
"2016- 02- 12","40,500","42,500","42,900","39,450","591.86K","-3.91%"
"2016- 02- 11","42,150","45,100","45,150","41,850","951.41K","-3.99%"
"2016- 02- 05","43,900","41,400","44,000","41,150","600.82K","6.55%"
"2016- 02- 04","41,200","42,000","42,450","40,300","405.08K","-1.90%"
"2016- 02- 03","42,000","41,700","42,350","41,350","208.38K","1.08%"
"2016- 02- 02","41,550","42,100","42,300","41,100","269.07K","-1.31%"
"2016- 02- 01","42,100","43,250","43,350","41,400","456.70K","-2.66%"
"2016- 01- 29","43,250","45,300","45,300","42,650","421.57K","-4.53%"
"2016- 01- 28","45,300","45,700","46,750","44,600","328.96K","0.00%"
"2016- 01- 27","45,300","47,100","47,500","44,450","301.57K","-3.62%"
"2016- 01- 26","47,000","46,600","47,150","45,800","187.46K","0.00%"
"2016- 01- 25","47,000","47,750","47,750","46,500","224.14K","-0.21%"
"2016- 01- 22","47,100","46,700","48,400","45,050","400.99K","1.29%"
"2016- 01- 21","46,500","46,900","48,000","45,900","370.59K","0.87%"
"2016- 01- 20","46,100","46,900","47,950","45,000","410.10K","-1.71%"
"2016- 01- 19","46,900","44,550","47,000","44,000","648.47K","5.87%"
"2016- 01- 18","44,300","44,400","44,700","42,200","166.16K","-1.34%"
"2016- 01- 15","44,900","45,200","45,500","44,200","241.63K","-0.55%"
"2016- 01- 14","45,150","43,550","45,200","43,000","333.07K","1.80%"
"2016- 01- 13","44,350","42,350","44,650","42,150","459.12K","5.09%"
"2016- 01- 12","42,200","42,300","42,650","41,850","126.28K","-0.24%"
"2016- 01- 11","42,300","42,150","42,500","41,350","142.09K","-0.24%"
"2016- 01- 08","42,400","42,000","42,700","41,500","163.17K","-0.47%"
"2016- 01- 07","42,600","41,000","42,600","40,650","214.71K","2.40%"
"2016- 01- 06","41,600","42,200","42,200","40,650","228.46K","-0.60%"
"2016- 01- 05","41,850","41,000","42,200","40,550","189.29K","0.72%"
"2016- 01- 04","41,550","42,900","42,900","40,800","301.37K","-3.37%"
"2015- 12- 30","43,000","41,650","43,350","41,650","188.88K","1.78%"
"2015- 12- 29","42,250","39,800","42,500","39,800","269.22K","6.16%"
"2015- 12- 28","39,800","40,500","40,850","39,150","440.68K","-1.49%"
"2015- 12- 24","40,400","42,200","42,200","40,400","231.15K","-4.04%"
"2015- 12- 23","42,100","42,850","42,850","41,450","109.30K","-0.71%"
"2015- 12- 22","42,400","43,100","43,100","41,650","116.45K","-0.70%"
"2015- 12- 21","42,700","42,900","43,300","42,350","83.80K","-0.93%"
"2015- 12- 18","43,100","41,750","43,300","41,300","229.94K","2.62%"
"2015- 12- 17","42,000","42,250","42,700","41,700","147.92K","0.24%"
"2015- 12- 16","41,900","40,950","42,650","40,950","206.33K","3.46%"
"2015- 12- 15","40,500","40,000","40,650","40,000","142.92K","1.63%"
"2015- 12- 14","39,850","40,300","40,500","39,250","196.44K","-2.69%"
"2015- 12- 11","40,950","40,500","41,100","40,250","95.01K","1.11%"
"2015- 12- 10","40,500","41,000","41,650","40,250","134.16K","-1.82%"
"2015- 12- 09","41,250","41,400","41,600","40,650","150.51K","-0.84%"
"2015- 12- 08","41,600","42,300","42,550","40,400","225.93K","-1.89%"
"2015- 12- 07","42,400","42,050","42,850","42,050","96.23K","0.83%"
"2015- 12- 04","42,050","41,500","42,250","41,500","116.61K","-1.06%"
"2015- 12- 03","42,500","41,800","42,650","41,000","247.23K","1.67%"
"2015- 12- 02","41,800","43,000","43,750","41,000","460.55K","-2.68%"
"2015- 12- 01","42,950","43,600","43,700","42,650","140.75K","0.00%"
"2015- 11- 30","42,950","44,450","44,450","42,800","209.13K","-3.37%"
"2015- 11- 27","44,450","44,300","44,750","44,000","153.92K","0.45%"
"2015- 11- 26","44,250","46,050","46,100","44,200","299.13K","-3.38%"
"2015- 11- 25","45,800","43,900","45,800","43,600","367.93K","4.57%"
"2015- 11- 24","43,800","43,650","44,200","43,550","201.94K","0.23%"
"2015- 11- 23","43,700","43,150","44,250","42,800","345.06K","0.34%"
"2015- 11- 20","43,550","44,550","44,750","43,400","305.63K","-1.91%"
"2015- 11- 19","44,400","45,300","45,600","43,950","229.45K","-1.44%"
"2015- 11- 18","45,050","44,900","45,850","44,600","343.13K","-0.11%"
"2015- 11- 17","45,100","43,650","45,200","42,950","298.99K","5.13%"
