"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 09- 05","57,400","58,400","59,200","56,900","273.23K","-1.71%"
"2022- 09- 04","58,400","58,400","58,400","58,400","","0.00%"
"2022- 09- 02","58,400","59,100","59,800","58,300","162.62K","-0.17%"
"2022- 09- 01","58,500","59,800","60,100","58,500","0.02K","-3.47%"
"2022- 08- 31","60,600","59,300","60,600","59,100","1.23K","0.83%"
"2022- 08- 30","60,100","58,300","60,200","57,700","0.07K","3.98%"
"2022- 08- 29","57,800","58,200","58,800","57,200","0.02K","-4.30%"
"2022- 08- 28","60,400","60,400","60,400","60,400","","0.00%"
"2022- 08- 26","60,400","60,900","61,900","59,800","352.49K","-1.15%"
"2022- 08- 25","61,100","58,500","61,800","58,500","0.00K","4.98%"
"2022- 08- 24","58,200","56,400","58,500","55,200","0.01K","3.93%"
"2022- 08- 23","56,000","58,800","58,900","55,700","519.87K","-5.25%"
"2022- 08- 22","59,100","59,000","61,300","58,800","0.34K","1.37%"
"2022- 08- 21","58,300","58,300","58,300","58,300","","0.00%"
"2022- 08- 19","58,300","61,600","62,400","57,200","910.46K","-4.89%"
"2022- 08- 18","61,300","60,100","61,600","59,900","0.01K","1.32%"
"2022- 08- 17","60,500","62,100","62,100","60,300","0.11K","-3.04%"
"2022- 08- 16","62,400","62,500","62,800","61,600","0.19K","0.81%"
"2022- 08- 12","61,900","61,200","62,000","60,100","686.27K","4.03%"
"2022- 08- 11","59,500","58,900","59,500","58,300","200.35K","2.59%"
"2022- 08- 10","58,000","59,800","60,000","58,000","303.68K","-2.52%"
"2022- 08- 09","59,500","57,100","59,700","57,100","0.00K","4.94%"
"2022- 08- 08","56,700","56,100","56,900","55,300","192.89K","2.16%"
"2022- 08- 07","55,500","55,500","55,500","55,500","","0.00%"
"2022- 08- 05","55,500","55,900","56,000","54,600","131.33K","-0.72%"
"2022- 08- 04","55,900","56,200","56,900","55,500","151.76K","0.00%"
"2022- 08- 03","55,900","54,900","56,200","54,600","169.76K","1.82%"
"2022- 08- 02","54,900","54,900","55,200","54,400","92.61K","0.37%"
"2022- 08- 01","54,700","55,300","56,000","54,700","0.02K","-0.73%"
"2022- 07- 29","55,100","54,800","55,500","54,600","126.84K","1.10%"
"2022- 07- 28","54,500","54,700","55,200","53,600","135.56K","0.93%"
"2022- 07- 27","54,000","54,200","54,400","53,400","0.04K","-0.37%"
"2022- 07- 26","54,200","56,100","56,200","54,000","227.82K","-3.39%"
"2022- 07- 25","56,100","54,000","56,100","53,600","223.31K","3.70%"
"2022- 07- 22","54,100","54,100","54,900","54,000","107.25K","-0.37%"
"2022- 07- 21","54,300","53,700","54,400","53,500","0.11K","0.37%"
"2022- 07- 20","54,100","55,000","55,200","53,600","0.06K","-0.37%"
"2022- 07- 19","54,300","53,200","54,500","53,000","120.32K","1.12%"
"2022- 07- 18","53,700","54,400","54,400","52,600","184.57K","0.37%"
"2022- 07- 15","53,500","54,000","54,900","53,200","277.40K","0.00%"
"2022- 07- 14","53,500","51,400","53,800","51,200","0.05K","3.88%"
"2022- 07- 13","51,500","50,800","51,900","50,600","0.93K","1.78%"
"2022- 07- 12","50,600","50,200","51,500","50,100","0.11K","-0.39%"
"2022- 07- 11","50,800","50,400","51,900","49,800","356.20K","2.32%"
"2022- 07- 08","49,650","49,500","50,900","48,800","297.85K","1.33%"
"2022- 07- 07","49,000","49,700","50,500","48,700","0.02K","0.10%"
"2022- 07- 06","48,950","45,950","51,400","45,600","891.22K","6.30%"
"2022- 07- 05","46,050","45,550","46,200","44,750","166.91K","3.25%"
"2022- 07- 04","44,600","44,000","46,200","43,650","196.90K","2.29%"
"2022- 07- 03","43,600","43,600","43,600","43,600","","0.00%"
"2022- 07- 01","43,600","44,450","44,850","43,000","127.58K","-1.25%"
"2022- 06- 30","44,150","44,950","45,650","43,600","113.06K","-2.00%"
"2022- 06- 29","45,050","44,850","45,550","43,800","0.14K","-0.55%"
"2022- 06- 28","45,300","45,800","46,100","44,900","127.68K","-1.41%"
"2022- 06- 27","45,950","45,100","46,600","43,850","219.72K","2.80%"
"2022- 06- 24","44,700","41,900","45,000","41,900","310.00K","6.81%"
"2022- 06- 23","41,850","43,400","44,500","41,850","0.20K","-3.68%"
